"Category","File","Paper","Source","Path"
"systems","Materealize_2026.md","Materealize: a multi-agent deliberation system for end-to-end material design and synthesis","arXiv:2601.15743; OpenReview AI4X 2026","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Materealize_2026.md"
"systems","TopoMAS_2025.md","TopoMAS: Large Language Model Driven Topological Materials Multiagent System","arXiv:2507.04053; doi:10.1002/mgea.70045","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\TopoMAS_2025.md"
"systems","DREAMS_2025.md","DREAMS: Density Functional Theory Based Research Engine for Agentic Materials Simulation","arXiv:2507.14267","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\DREAMS_2025.md"
"systems","ScienceClaw_Infinite_2026.md","Autonomous Agents Coordinating Distributed Discovery Through Emergent Artifact Exchange","arXiv:2603.14312","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\ScienceClaw_Infinite_2026.md"
"systems","SCP_2025.md","SCP: Accelerating Discovery with a Global Web of Autonomous Scientific Agents","arXiv:2512.24189","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SCP_2025.md"
"systems","AgentRxiv_2025.md","AgentRxiv: Towards Collaborative Autonomous Research","arXiv:2503.18102","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AgentRxiv_2025.md"
"systems","Mozi_2026.md","Mozi: Governed Autonomy for Drug Discovery LLM Agents","arXiv:2603.03655","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Mozi_2026.md"
"systems","AGAPI_Agents_2025.md","AGAPI-Agents: An Open-Access Agentic AI Platform for Accelerated Materials Design on AtomGPT.org","arXiv:2512.11935","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AGAPI_Agents_2025.md"
"systems","MADD_2025.md","MADD: Multi-Agent Drug Discovery Orchestra","arXiv:2511.08217; ACL Findings EMNLP 2025","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\MADD_2025.md"
"systems","AutoResearchClaw_2026.md","AutoResearchClaw: Self-Reinforcing Autonomous Research with Human-AI Collaboration","arXiv:2605.20025","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AutoResearchClaw_2026.md"
"systems","Claw_AI_Lab_2026.md","Claw AI Lab: An Autonomous Multi-Agent Research Team","arXiv:2605.22662","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Claw_AI_Lab_2026.md"
"systems","MM_Agent_2025.md","LLM as Agents for Real-world Mathematical Modeling Problem","NeurIPS 2025; arXiv:2505.14148","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\MM_Agent_2025.md"
"systems","eNRRCrew_2025.md","Automating structure-activity analysis for electrochemical nitrogen reduction catalyst design through multi-agent collaborations","National Science Review, doi:10.1093/nsr/nwaf372","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\eNRRCrew_2025.md"
"systems","DrugMCTS_2025.md","DrugMCTS: a drug repurposing framework combining multi-agent, RAG and Monte Carlo Tree Search","arXiv:2507.07426","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\DrugMCTS_2025.md"
"systems","RD_Agent_2025.md","R&D-Agent: An LLM-Agent Framework Towards Autonomous Data Science","arXiv:2505.14738; https://github.com/microsoft/RD-Agent","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\RD_Agent_2025.md"
"systems","GeoEvolve_2025.md","GeoEvolve: Automating Geospatial Model Discovery via Multi-Agent Large Language Models","arXiv:2509.21593","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\GeoEvolve_2025.md"
"systems","El_Agente_Q_2025.md","El Agente: An Autonomous Agent for Quantum Chemistry","arXiv:2505.02484; Matter 2025","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\El_Agente_Q_2025.md"
"systems","PhenoAssistant_2026.md","A conversational multi-agent AI system for automated plant phenotyping","Nature Communications, doi:10.1038/s41467-026-71090-y; arXiv:2504.19818","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\PhenoAssistant_2026.md"
"systems","AccelMat_2025.md","Hypothesis Generation for Materials Discovery and Design Using Goal-Driven and Constraint-Guided LLM Agents","arXiv:2501.13299; NAACL Findings 2025","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AccelMat_2025.md"
"systems","BFS_Prover_V2_2025.md","Scaling up Multi-Turn Off-Policy RL and Multi-Agent Tree Search for LLM Step-Provers","arXiv:2509.06493","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\BFS_Prover_V2_2025.md"
"systems","LeanMarathon_2026.md","LeanMarathon: Toward Reliable AI Co-Mathematicians through Long-Horizon Lean Autoformalization","arXiv:2606.05400","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\LeanMarathon_2026.md"
"systems","Automatic_Textbook_Formalization_2026.md","Automatic Textbook Formalization","arXiv:2604.03071","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Automatic_Textbook_Formalization_2026.md"
"systems","MA_LoT_2025.md","MA-LoT: Multi-Agent Lean-based Long Chain-of-Thought Reasoning enhances Formal Theorem Proving","arXiv:2503.03205","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\MA_LoT_2025.md"
